address,lat,lng,level
南投縣草屯鎮復興里草溪路695巷121號1樓,23.967847,120.674636,門牌
南投縣草屯鎮忠孝街379巷2弄11號1樓,23.984733,120.680722,門牌
南投縣草屯鎮敦和里仁愛街204號1樓,23.983360,120.678293,門牌
南投縣草屯鎮敦和里仁愛街213巷20弄34號2樓,23.983751,120.676781,門牌
南投縣草屯鎮敦和里仁愛街230巷22弄3號1樓,23.983596,120.679304,門牌
南投縣草屯鎮新庄里新庄一路43巷16號一樓,23.992958,120.672416,門牌
南投縣草屯鎮新庄里新庄二路226號1樓,23.998573,120.668818,門牌
南投縣草屯鎮新庄里新豐路58巷51-1號,23.998709,120.678394,路名
南投縣草屯鎮新豐里中正路1097巷4號,23.989896,120.687359,門牌
南投縣草屯鎮新豐里中正路1123號,23.990265,120.687508,門牌
南投縣草屯鎮新豐里中正路1663巷10號1樓,24.001373,120.690067,門牌
南投縣草屯鎮新豐里成功路一段1035巷82號一樓,23.959885,120.728175,路名
南投縣草屯鎮新豐里新豐路230號,23.998709,120.678394,路名
南投縣草屯鎮新豐里稻香路20之21號,23.994403,120.686409,門牌
南投縣草屯鎮新豐里防汎路2號一樓,24.002235,120.689964,門牌
南投縣草屯鎮明正里中正路891號一樓,23.984624,120.686236,門牌
南投縣草屯鎮正義街216號1樓,23.967732,120.686935,門牌
南投縣草屯鎮民生三街30巷41號1樓,23.967297,120.686344,門牌
南投縣草屯鎮玉屏巷43之6號1樓,23.995288,120.735982,路名
南投縣草屯鎮石川路59之26號,24.001851,120.648057,門牌
南投縣草屯鎮石川里墩煌路二段199巷15號,23.997282,120.665311,路名
南投縣草屯鎮石川里石川路11之19號1樓,23.992987,120.657799,門牌
南投縣草屯鎮石川里石川路12之31號1樓,23.993584,120.655632,門牌
南投縣草屯鎮石川里石川路14-25號1樓,23.996072,120.652307,路名
南投縣草屯鎮石川里石川路14之23號2樓,23.993786,120.654298,門牌
南投縣草屯鎮石川里碧興路二段1221巷42號1樓,23.977723,120.651862,路名
南投縣草屯鎮碧山路1126之2號,23.975084,120.666511,路名
南投縣草屯鎮碧峰里保安街45巷12號2樓,23.970313,120.652152,門牌
南投縣草屯鎮碧峰里碧山路1107之10號1樓,23.973021,120.656566,門牌
南投縣草屯鎮碧峰里碧山路1125巷67弄29號一樓,23.972073,120.655093,門牌
南投縣草屯鎮碧峰里碧峰路86號,23.972833,120.659002,門牌
南投縣草屯鎮碧峰里碧興路一段501號,23.977723,120.651862,路名
南投縣草屯鎮碧洲里碧峰路948號,23.958323,120.660877,門牌
南投縣草屯鎮碧洲里碧峰路960號,23.958429,120.660310,門牌
南投縣草屯鎮碧洲里碧興路一段501號,23.977723,120.651862,路名
南投縣草屯鎮碧洲里草溪路60巷9弄10號1樓,23.952322,120.662128,門牌
南投縣集集鎮八張里八張街127巷8號1樓,23.828951,120.792143,門牌
南投縣集集鎮吳厝里名水路二段151號,23.826741,120.765916,路名
南投縣集集鎮和平里成功路20號,23.959885,120.728175,路名
南投縣集集鎮廣明里文心街22巷32弄2之1號1樓,23.830168,120.798642,路名
南投縣集集鎮廣明里文心街22巷9號一樓,23.830312,120.801745,門牌
南投縣集集鎮廣明里洞角巷38-3號一樓,23.829346,120.807627,路名
南投縣集集鎮田寮里龍泉巷29號1樓,23.834811,120.749466,門牌
南投縣集集鎮集集里初中一街51巷16號1樓,23.829795,120.781772,路名
南投縣魚池鄉大林村金天巷45號,23.870497,120.944811,門牌
南投縣魚池鄉大雁村大雁巷31之7號,23.919512,120.922299,門牌
南投縣魚池鄉東池村東興巷18號1樓,23.898251,120.945318,門牌
南投縣魚池鄉水社村中興路142號,24.041094,120.856365,門牌
南投縣魚池鄉魚池村秀水巷23－14號一樓﹝現場不得堆棧﹞,23.895649,120.937870,路名
南投縣魚池鄉魚池村魚池街413號,23.896808,120.936051,門牌
南投縣鹿谷鄉內湖村興產路2-2號,23.709181,120.779410,路名
南投縣鹿谷鄉清水村外城巷33號1樓,23.806789,120.778428,門牌
南投縣鹿谷鄉瑞田村集鹿南路501號1樓,23.812292,120.781611,門牌
南部科學園區台南市善化區南科九路8號,23.120148,120.276523,門牌
南部科學園區台南市善化區大利二路10號,23.115038,120.277379,門牌
南部科學園區台南市新市區南科三路7號4樓,23.098745,120.284211,門牌
南部科學園區台南市新市區南科六路1號,23.106332,120.282765,門牌
南部科學園區台南市新市區大業一路7號,23.090382,120.289619,門牌
南部科學園區台南市新市區環東路1段31巷22號2樓,23.097693,120.283254,門牌
南部科學園區高雄市路竹區北嶺二路11號,22.825126,120.272619,門牌
南部科學園區高雄市路竹區路科三路15號,22.833578,120.260235,路名
南部科學園區高雄市路竹區路科五路98號4樓A室,22.827550,120.258276,門牌
台中市中區光復里民族路92號2樓之3,24.139983,120.679387,門牌
台中市中區公園里市府路91號1樓,24.140485,120.680874,門牌
台中市中區大誠里台灣大道一段501號6樓之1,24.185347,120.617995,路名
台中市中區成功路357號,24.307937,120.717783,門牌
台中市中區柳川里民權路164號21樓之37,24.141307,120.676473,門牌
台中市中區自由路二段12號8樓之5,24.149802,120.646981,路名
台中市北區中正里中山路429巷2號1樓,24.224180,120.663068,路名
台中市北區中清路一段447號14樓之2,24.205857,120.646741,路名
台中市北區中清路一段89號7樓之5,24.205857,120.646741,路名
台中市北區中清路一段89號8樓之6至8樓之8,24.205857,120.646741,路名
台中市北區中華路二段173巷64號1樓,24.173464,120.617601,路名
台中市北區五常里五權路401之1號,24.153091,120.681515,門牌
台中市北區五常里五權路401之1號7樓,24.153091,120.681515,門牌
台中市北區五權路375號9樓,24.152866,120.680519,門牌
台中市北區健行路373之11號,24.158904,120.682761,門牌
台中市北區健行路56號1樓,24.087853,120.735914,門牌
台中市北區健行路681號1樓,24.111314,120.592290,門牌
台中市北區健行路721巷1號4樓,24.158682,120.673159,門牌
台中市北區健行路97之2號,24.158838,120.688107,門牌
台中市北區健行里德化街588巷3-3號,24.167926,120.672563,路名
台中市北區健行里忠太東路58之1號1樓,24.161799,120.668230,門牌
台中市北區健行里忠明路200號13樓之2,24.161283,120.663374,門牌
台中市北區健行里民權路559號11樓之3,24.161787,120.670183,門牌
台中市北區健行里華興街95號1樓,24.161675,120.669041,門牌
台中市北區光大里中清路一段78號1樓,24.205857,120.646741,路名
台中市北區光大里原子街149號8樓之8,24.149377,120.677110,門牌
台中市北區光大里太平路211號1樓,24.120947,120.720104,門牌
